Pair,Executor,Dir,Size,Entry,Close,StopLoss,TakeProfit,PnL,Reason,Duration,Status,CloseTime
SOL/USDT,Smart,Sell,44.14,65.36,65.77,65.78,64.22,-20.78,SL,20m,Closed,7 Jun 11:06 AM
ETH/USDT,Smart,Sell,1.4972,1621.80,1635.62,1636.57,1587.96,-23.14,SL,15m,Closed,7 Jun 11:02 AM
XRP/USDT,Agent,Sell,157,1.1344,1.1411,1.1453,1.0945,-1.23,Manual,48m,Closed,7 Jun 10:51 AM
BNB/USDT,Smart,Sell,4.616,588.97,593.09,594.01,579.87,-21.75,Manual,1h 39m,Closed,7 Jun 10:48 AM
ADA/USDT,Agent,Sell,1112,0.1619,0.1645,0.1637,0.1579,-3.07,SL,3h 53m,Closed,7 Jun 10:47 AM
ETH/USDT,Smart,Sell,2.1653,1608.13,1619.70,1620.33,1572.20,-28.57,SL,3h 27m,Closed,7 Jun 10:46 AM
SOL/USDT,Agent,Sell,2.78,64.41,64.98,65.06,62.75,-1.77,Manual,2h 19m,Closed,7 Jun 10:45 AM
DOGE/USDT,Smart,Sell,38405.84251,0.084462,0.084854,0.084813,0.082294,-18.31,SL,2h 33m,Closed,7 Jun 10:03 AM
BTC/USDT,Agent,Sell,0.00292,61704.47,62344.93,62308.62,60092.11,-2.05,SL,3h 7m,Closed,7 Jun 10:00 AM
XRP/USDT,Agent,Sell,161,1.1188,1.1311,1.1306,1.0904,-2.16,SL,3h 6m,Closed,7 Jun 9:59 AM
BNB/USDT,Agent,Sell,0.306,585.56,588.09,589.03,568.08,-0.95,Manual,1h 39m,Closed,7 Jun 9:08 AM
SOL/USDT,Agent,Sell,2.88,63.04,64.25,64.34,61.49,-3.69,Manual,3h 51m,Closed,7 Jun 8:25 AM
DOGE/USDT,Smart,Sell,54344.05076,0.083355,0.083930,0.083968,0.081474,-35.81,SL,4h 7m,Closed,7 Jun 7:29 AM
BNB/USDT,Smart,Sell,4.534,580.88,585.31,585.90,568.50,-22.77,Manual,4h 5m,Closed,7 Jun 7:29 AM
ETH/USDT,Smart,Sell,1.3178,1590.95,1595.47,1600.06,1576.18,-8.06,Manual,3h 54m,Closed,7 Jun 7:18 AM
ADA/USDT,Smart,Sell,22540,0.1607,0.1618,0.1619,0.1580,-27.89,SL,3h 39m,Closed,7 Jun 6:53 AM
BTC/USDT,Agent,Sell,0.00295,61332.35,61741.68,61705.12,59510.08,-1.39,SL,3h 24m,Closed,7 Jun 6:47 AM
XRP/USDT,Agent,Sell,162,1.1151,1.1179,1.1174,1.0679,-0.63,SL,4m,Closed,7 Jun 3:41 AM
SOL/USDT,Agent,Sell,2.87,63.19,63.59,63.62,61.36,-1.35,SL,15m,Closed,7 Jun 3:35 AM
XRP/USDT,Agent,Sell,166,1.0916,1.1111,1.1101,1.0608,-3.42,SL,1h 7m,Closed,7 Jun 3:35 AM
ETH/USDT,Agent,Sell,0.1166,1561.96,1591.79,1591.48,1520.93,-3.66,SL,55m,Closed,7 Jun 3:23 AM
